,main_cat,cat,sub-cat,full_sub_cat_link
73,All,child-clothes,shorts,https://remixshop.com/bg/child-clothes/shorts
74,All,child-clothes,trousers,https://remixshop.com/bg/child-clothes/trousers
75,All,child-clothes,skirts-and-dresses,https://remixshop.com/bg/child-clothes/skirts-and-dresses
76,All,child-clothes,sweaters,https://remixshop.com/bg/child-clothes/sweaters
77,All,child-clothes,shirts,https://remixshop.com/bg/child-clothes/shirts
78,All,child-clothes,sports-clothing,https://remixshop.com/bg/child-clothes/sports-clothing
79,All,child-clothes,sweatshirts,https://remixshop.com/bg/child-clothes/sweatshirts
80,All,child-clothes,t-shirts,https://remixshop.com/bg/child-clothes/t-shirts
81,All,child-clothes,top,https://remixshop.com/bg/child-clothes/top
82,All,child-clothes,tunics,https://remixshop.com/bg/child-clothes/tunics
83,All,child-clothes,socks-and-tights,https://remixshop.com/bg/child-clothes/socks-and-tights
0,Outlet,womens-clothes,sweatpants,https://remixshop.com/bg/outlet/womens-clothes/sweatpants
1,Outlet,womens-clothes,swimwear,https://remixshop.com/bg/outlet/womens-clothes/swimwear
2,Outlet,womens-clothes,underwear,https://remixshop.com/bg/outlet/womens-clothes/underwear
3,Outlet,womens-clothes,tops,https://remixshop.com/bg/outlet/womens-clothes/tops
4,Outlet,womens-clothes,boleros-and-ponchos,https://remixshop.com/bg/outlet/womens-clothes/boleros-and-ponchos
5,Outlet,womens-clothes,jumpsuits,https://remixshop.com/bg/outlet/womens-clothes/jumpsuits
6,Outlet,womens-clothes,jeans,https://remixshop.com/bg/outlet/womens-clothes/jeans
7,Outlet,womens-clothes,vests,https://remixshop.com/bg/outlet/womens-clothes/vests
8,Outlet,womens-clothes,cardigans,https://remixshop.com/bg/outlet/womens-clothes/cardigans
9,Outlet,womens-clothes,leggings,https://remixshop.com/bg/outlet/womens-clothes/leggings
10,Outlet,womens-clothes,leather-jackets,https://remixshop.com/bg/outlet/womens-clothes/leather-jackets
11,Outlet,womens-clothes,suits,https://remixshop.com/bg/outlet/womens-clothes/suits
12,Outlet,womens-clothes,shorts,https://remixshop.com/bg/outlet/womens-clothes/shorts
13,Outlet,womens-clothes,coats,https://remixshop.com/bg/outlet/womens-clothes/coats
14,Outlet,womens-clothes,trousers,https://remixshop.com/bg/outlet/womens-clothes/trousers
15,Outlet,womens-clothes,skirts,https://remixshop.com/bg/outlet/womens-clothes/skirts
16,Outlet,womens-clothes,sweaters,https://remixshop.com/bg/outlet/womens-clothes/sweaters
17,Outlet,womens-clothes,shirts,https://remixshop.com/bg/outlet/womens-clothes/shirts
18,Outlet,womens-clothes,dresses,https://remixshop.com/bg/outlet/womens-clothes/dresses
19,Outlet,womens-clothes,blazers,https://remixshop.com/bg/outlet/womens-clothes/blazers
20,Outlet,womens-clothes,sports-clothing,https://remixshop.com/bg/outlet/womens-clothes/sports-clothing
21,Outlet,womens-clothes,sweatshirts,https://remixshop.com/bg/outlet/womens-clothes/sweatshirts
22,Outlet,womens-clothes,t-shirts,https://remixshop.com/bg/outlet/womens-clothes/t-shirts
23,Outlet,womens-clothes,tunics,https://remixshop.com/bg/outlet/womens-clothes/tunics
24,Outlet,womens-clothes,socks-and-tights,https://remixshop.com/bg/outlet/womens-clothes/socks-and-tights
25,Outlet,womens-clothes,jackets,https://remixshop.com/bg/outlet/womens-clothes/jackets
26,Outlet,mens-clothes,sweatpants,https://remixshop.com/bg/outlet/mens-clothes/sweatpants
27,Outlet,mens-clothes,swimwear,https://remixshop.com/bg/outlet/mens-clothes/swimwear
28,Outlet,mens-clothes,underwear,https://remixshop.com/bg/outlet/mens-clothes/underwear
29,Outlet,mens-clothes,tops,https://remixshop.com/bg/outlet/mens-clothes/tops
30,Outlet,mens-clothes,jumpsuits,https://remixshop.com/bg/outlet/mens-clothes/jumpsuits
31,Outlet,mens-clothes,jeans,https://remixshop.com/bg/outlet/mens-clothes/jeans
32,Outlet,mens-clothes,vests,https://remixshop.com/bg/outlet/mens-clothes/vests
33,Outlet,mens-clothes,cardigans,https://remixshop.com/bg/outlet/mens-clothes/cardigans
34,Outlet,mens-clothes,leggings,https://remixshop.com/bg/outlet/mens-clothes/leggings
35,Outlet,mens-clothes,leather-jackets,https://remixshop.com/bg/outlet/mens-clothes/leather-jackets
36,Outlet,mens-clothes,suits,https://remixshop.com/bg/outlet/mens-clothes/suits
37,Outlet,mens-clothes,shorts,https://remixshop.com/bg/outlet/mens-clothes/shorts
38,Outlet,mens-clothes,coats,https://remixshop.com/bg/outlet/mens-clothes/coats
39,Outlet,mens-clothes,trousers,https://remixshop.com/bg/outlet/mens-clothes/trousers
40,Outlet,mens-clothes,sweaters,https://remixshop.com/bg/outlet/mens-clothes/sweaters
41,Outlet,mens-clothes,shirts,https://remixshop.com/bg/outlet/mens-clothes/shirts
42,Outlet,mens-clothes,blazers,https://remixshop.com/bg/outlet/mens-clothes/blazers
43,Outlet,mens-clothes,sports-clothing,https://remixshop.com/bg/outlet/mens-clothes/sports-clothing
44,Outlet,mens-clothes,sweatshirts,https://remixshop.com/bg/outlet/mens-clothes/sweatshirts
45,Outlet,mens-clothes,t-shirts,https://remixshop.com/bg/outlet/mens-clothes/t-shirts
46,Outlet,mens-clothes,socks,https://remixshop.com/bg/outlet/mens-clothes/socks
47,Outlet,mens-clothes,jackets,https://remixshop.com/bg/outlet/mens-clothes/jackets
48,Outlet,bags,womens-bags,https://remixshop.com/bg/outlet/bags/womens-bags
49,Outlet,bags,bags-other,https://remixshop.com/bg/outlet/bags/bags-other
50,Outlet,bags,suitcases,https://remixshop.com/bg/outlet/bags/suitcases
51,Outlet,bags,mens-bags,https://remixshop.com/bg/outlet/bags/mens-bags
52,Outlet,bags,wallets,https://remixshop.com/bg/outlet/bags/wallets
53,Outlet,bags,backpacks,https://remixshop.com/bg/outlet/bags/backpacks
