,main_cat,cat,sub-cat,full_sub_cat_link
66,Next season,child-clothes,tops,https://remixshop.com/bg/pre/child-clothes/tops
67,Next season,child-clothes,outerwear,https://remixshop.com/bg/pre/child-clothes/outerwear
68,Next season,child-clothes,jumpsuits,https://remixshop.com/bg/pre/child-clothes/jumpsuits
69,Next season,child-clothes,jeans,https://remixshop.com/bg/pre/child-clothes/jeans
70,Next season,child-clothes,vests,https://remixshop.com/bg/pre/child-clothes/vests
71,Next season,child-clothes,cardigans,https://remixshop.com/bg/pre/child-clothes/cardigans
72,Next season,child-clothes,sets,https://remixshop.com/bg/pre/child-clothes/sets
73,Next season,child-clothes,shorts,https://remixshop.com/bg/pre/child-clothes/shorts
74,Next season,child-clothes,trousers,https://remixshop.com/bg/pre/child-clothes/trousers
75,Next season,child-clothes,skirts-and-dresses,https://remixshop.com/bg/pre/child-clothes/skirts-and-dresses
76,Next season,child-clothes,sweaters,https://remixshop.com/bg/pre/child-clothes/sweaters
77,Next season,child-clothes,shirts,https://remixshop.com/bg/pre/child-clothes/shirts
78,Next season,child-clothes,sports-clothing,https://remixshop.com/bg/pre/child-clothes/sports-clothing
79,Next season,child-clothes,sweatshirts,https://remixshop.com/bg/pre/child-clothes/sweatshirts
80,Next season,child-clothes,t-shirts,https://remixshop.com/bg/pre/child-clothes/t-shirts
81,Next season,child-clothes,top,https://remixshop.com/bg/pre/child-clothes/top
82,Next season,child-clothes,tunics,https://remixshop.com/bg/pre/child-clothes/tunics
83,Next season,child-clothes,socks-and-tights,https://remixshop.com/bg/pre/child-clothes/socks-and-tights
