,Марка,Размер,Цвят,Материя,Цена,link
58,Inside,14-15y, Пепел от рози,,"19,11 лв.",https://remixshop.com/bg/child-clothes-cardigans-inside-pr18071022.html
59,H&M,14-15y, Сив," 65% полиамид, 35% акрил","16,38 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-pr18070973.html
60,H&M,12-13y, Зелен,,"12,71 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-pr18070972.html
61,H&M,12-13y, Черен," 65% полиамид, 35% акрил","12,71 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-pr18052871.html
62,Orchestra,11-12y, Сив," 50% полиамид, 45% вискоза, 5% ангора","3,99 лв.",https://remixshop.com/bg/child-clothes-cardigans-orchestra-pr18052515.html
63,Pepperts!,12-13y, Лилав," 95% памук, 5% еластан","16,80 лв.",https://remixshop.com/bg/child-clothes-cardigans-pepperts%2521-pr18046383.html
64,Zara,8-9y, Бял," 79% памук, 17% полиестер, 4% вискоза","15,00 лв.",https://remixshop.com/bg/child-clothes-cardigans-zara-pr18046211.html
65,Here+There,12-13y, Сив," 74% акрил, 16% полиестер, 10% вълна","19,69 лв.",https://remixshop.com/bg/child-clothes-cardigans-here%252Bthere-pr18044070.html
66,Zara Knitwear,3-4y, Сив," 66% полиакрил, 34% акрил","27,56 лв.",https://remixshop.com/bg/child-clothes-cardigans-zara-knitwear-pr18042038.html
67,Garcia Jeans,13-14y, Сив,,"19,11 лв.",https://remixshop.com/bg/child-clothes-cardigans-garcia-jeans-pr18035211.html
68,Kensiegirl,13-14y, Жълт,,"14,49 лв.",https://remixshop.com/bg/child-clothes-cardigans-kensiegirl-pr18030913.html
69,H&M,14-15y, Черен," 69% полиамид, 31% памук","9,82 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-pr18026190.html
70,Nkd,15-18y, Лилав, Полиакрил,"4,41 лв.",https://remixshop.com/bg/child-clothes-cardigans-nkd-pr18025526.html
71,Airfield,15-18y, Син," 55% акрил, 45% памук","132,09 лв.",https://remixshop.com/bg/child-clothes-cardigans-airfield-pr18032221.html
72,Page One,8-9y, Червен," 70% памук, 30% полиестер","10,92 лв.",https://remixshop.com/bg/child-clothes-cardigans-page-one-pr18022814.html
73,Review,12-13y, Лилав, Вискоза,"13,65 лв.",https://remixshop.com/bg/child-clothes-cardigans-review-pr18020716.html
74,Target,10-11y, Зелен, Памук,"18,48 лв.",https://remixshop.com/bg/child-clothes-cardigans-target-pr18019704.html
75,Design By Kappahl,14-15y, Розов," 73% полиамид, 27% акрил","10,40 лв.",https://remixshop.com/bg/child-clothes-cardigans-design-by-kappahl-pr18018540.html
76,We Tweens By Kappahl,10-11y, Черен," 74% памук, 17% полиестер, 9% еластан","3,78 лв.",https://remixshop.com/bg/child-clothes-cardigans-we-tweens-by-kappahl-pr18016719.html
77,Детска жилетка,0-1y, Бял,,"9,82 лв.",https://remixshop.com/bg/child-clothes-cardigans-pr18015472.html
78,Детска жилетка,4-5y, Син," 50% вълна, 50% акрил","16,91 лв.",https://remixshop.com/bg/child-clothes-cardigans-pr18015407.html
79,Nkd,18-24m, Розов, Акрил,"3,99 лв.",https://remixshop.com/bg/child-clothes-cardigans-nkd-pr18015070.html
80,Fagottino By Oviesse,1-2m, Син," 80% памук, 20% полиестер","3,99 лв.",https://remixshop.com/bg/child-clothes-cardigans-fagottino-by-oviesse-pr18015054.html
81,Детски елек,4-5y, Бежов, Акрил,"14,44 лв.",https://remixshop.com/bg/child-clothes-vests-cardigans-pr18014929.html
82,Alive,10-11y, Син," 50% памук, 50% акрил","17,64 лв.",https://remixshop.com/bg/child-clothes-cardigans-alive-pr18014880.html
83,Детска жилетка,3-4y, Син,,"10,40 лв.",https://remixshop.com/bg/child-clothes-cardigans-pr18014865.html
84,H&M,10-11y, Черен,,"13,28 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-pr18014277.html
85,H&M,10-11y, Бял, Полиестер,"3,62 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-pr18006404.html
86,Baby Club,9-12m, Розов, Акрил,"4,41 лв.",https://remixshop.com/bg/child-clothes-cardigans-baby-club-pr18000856.html
87,Детска жилетка,2-3y, Многоцветен, Полиестер,"3,47 лв.",https://remixshop.com/bg/child-clothes-cardigans-pr18000847.html
88,La Rocca,0-1y, Розов,,"3,78 лв.",https://remixshop.com/bg/child-clothes-cardigans-la-rocca-pr18000830.html
89,Justice,14-15y, Син," 55% акрил, 45% полиамид","3,78 лв.",https://remixshop.com/bg/child-clothes-cardigans-vests-justice-pr17999458.html
90,Alive,9-10y, Син, Памук,"46,81 лв.",https://remixshop.com/bg/child-clothes-cardigans-alive-pr17909336.html
91,Zara Knitwear,10-11y, Сив, Памук,"14,30 лв.",https://remixshop.com/bg/child-clothes-cardigans-zara-knitwear-pr17969146.html
92,Page One,15-18y, Сив," 57% памук, 43% полиестер","3,31 лв.",https://remixshop.com/bg/child-clothes-cardigans-page-one-pr17963649.html
93,Next,10-11y, Розов," 88% акрил, 8% полиестер, 4% метални нишки","3,31 лв.",https://remixshop.com/bg/child-clothes-cardigans-next-pr17958453.html
94,H&M,14-15y, Бял, Памук,"3,57 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-pr17947272.html
95,WE,12-13y, Розов, Памук,"3,31 лв.",https://remixshop.com/bg/child-clothes-cardigans-we-pr17942398.html
96,Place Est. 1989,15-18y, Екрю, Акрил,"4,41 лв.",https://remixshop.com/bg/child-clothes-cardigans-place-est.-1989-pr17941323.html
97,Here+There,12-13y, Син," 78% вискоза, 19% полиестер, 3% еластан","3,78 лв.",https://remixshop.com/bg/child-clothes-cardigans-here%252Bthere-pr17921068.html
98,Детска жилетка,11-12y, Кафяв,,"3,57 лв.",https://remixshop.com/bg/child-clothes-cardigans-pr17908780.html
99,No Boundaries,8-9y, Екрю," 40% акрил, 28% полиамид, 24% вълна, 8% мохер","3,47 лв.",https://remixshop.com/bg/child-clothes-cardigans-no-boundaries-pr17908600.html
100,Premier,11-12y, Син, Акрил,"5,20 лв.",https://remixshop.com/bg/child-clothes-cardigans-premier-pr17897543.html
101,H&M,12-13y, Розов," 60% мохер, 36% акрил, 4% полиамид","3,31 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-pr17890046.html
102,Alive,10-11y, Син, Памук,"5,36 лв.",https://remixshop.com/bg/child-clothes-cardigans-alive-pr17889982.html
103,H&M,12-13y, Сив," 60% памук, 40% полиестер","5,36 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-pr17881281.html
104,Детска жилетка,11-12y, Бежов," Акрил, полиестер","3,28 лв.",https://remixshop.com/bg/child-clothes-cardigans-pr17701761.html
105,Miss E-Vie,10-11y, Многоцветен, Полиестер,"28,60 лв.",https://remixshop.com/bg/child-clothes-cardigans-miss-e-vie-pr17777708.html
106,Simonetta,12-18m, Розов, Памук,"21,00 лв.",https://remixshop.com/bg/child-clothes-cardigans-simonetta-pr17856243.html
107,Mirella,13-14y, Черен," 47% полиестер, 47% вискоза, 6% еластан","3,36 лв.",https://remixshop.com/bg/child-clothes-cardigans-mirella-pr17846949.html
108,H&M,10-11y, Екрю, Памук,"3,02 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-pr17812775.html
